Giornata,Data,Casa,Ospite
1,23/08/2026,Atalanta,Sassuolo
1,23/08/2026,Bologna,Lazio
1,23/08/2026,Frosinone,Juventus
1,23/08/2026,Genoa,Napoli
1,23/08/2026,Inter,Monza
1,23/08/2026,Parma,Cagliari
1,23/08/2026,Roma,Fiorentina
1,23/08/2026,Torino,Milan
1,23/08/2026,Udinese,Como
1,23/08/2026,Venezia,Lecce
2,30/08/2026,Atalanta,Bologna
2,30/08/2026,Cagliari,Inter
2,30/08/2026,Fiorentina,Frosinone
2,30/08/2026,Juventus,Parma
2,30/08/2026,Lazio,Genoa
2,30/08/2026,Lecce,Roma
2,30/08/2026,Milan,Venezia
2,30/08/2026,Monza,Udinese
2,30/08/2026,Napoli,Como
2,30/08/2026,Sassuolo,Torino
3,06/09/2026,Bologna,Sassuolo
3,06/09/2026,Cagliari,Lecce
3,06/09/2026,Fiorentina,Torino
3,06/09/2026,Frosinone,Venezia
3,06/09/2026,Genoa,Como
3,06/09/2026,Inter,Napoli
3,06/09/2026,Juventus,Milan
3,06/09/2026,Parma,Monza
3,06/09/2026,Roma,Atalanta
3,06/09/2026,Udinese,Lazio
4,13/09/2026,Atalanta,Cagliari
4,13/09/2026,Como,Parma
4,13/09/2026,Genoa,Frosinone
4,13/09/2026,Inter,Udinese
4,13/09/2026,Lazio,Milan
4,13/09/2026,Lecce,Monza
4,13/09/2026,Napoli,Bologna
4,13/09/2026,Sassuolo,Juventus
4,13/09/2026,Torino,Roma
4,13/09/2026,Venezia,Fiorentina
5,20/09/2026,Bologna,Torino
5,20/09/2026,Fiorentina,Napoli
5,20/09/2026,Frosinone,Como
5,20/09/2026,Juventus,Atalanta
5,20/09/2026,Milan,Lecce
5,20/09/2026,Monza,Sassuolo
5,20/09/2026,Parma,Genoa
5,20/09/2026,Roma,Inter
5,20/09/2026,Udinese,Cagliari
5,20/09/2026,Venezia,Lazio
6,11/10/2026,Atalanta,Venezia
6,11/10/2026,Cagliari,Juventus
6,11/10/2026,Como,Roma
6,11/10/2026,Genoa,Fiorentina
6,11/10/2026,Inter,Parma
6,11/10/2026,Lazio,Monza
6,11/10/2026,Lecce,Bologna
6,11/10/2026,Napoli,Frosinone
6,11/10/2026,Sassuolo,Milan
6,11/10/2026,Torino,Udinese
7,18/10/2026,Bologna,Inter
7,18/10/2026,Fiorentina,Como
7,18/10/2026,Frosinone,Sassuolo
7,18/10/2026,Juventus,Lazio
7,18/10/2026,Milan,Atalanta
7,18/10/2026,Monza,Cagliari
7,18/10/2026,Parma,Torino
7,18/10/2026,Roma,Genoa
7,18/10/2026,Udinese,Lecce
7,18/10/2026,Venezia,Napoli
8,25/10/2026,Atalanta,Frosinone
8,25/10/2026,Cagliari,Bologna
8,25/10/2026,Como,Sassuolo
8,25/10/2026,Genoa,Venezia
8,25/10/2026,Inter,Fiorentina
8,25/10/2026,Lazio,Parma
8,25/10/2026,Lecce,Juventus
8,25/10/2026,Napoli,Roma
8,25/10/2026,Torino,Monza
8,25/10/2026,Udinese,Milan
9,28/10/2026,Fiorentina,Atalanta
9,28/10/2026,Frosinone,Lecce
9,28/10/2026,Genoa,Juventus
9,28/10/2026,Milan,Bologna
9,28/10/2026,Monza,Napoli
9,28/10/2026,Parma,Udinese
9,28/10/2026,Roma,Cagliari
9,28/10/2026,Sassuolo,Lazio
9,28/10/2026,Torino,Como
9,28/10/2026,Venezia,Inter
10,01/11/2026,Atalanta,Parma
10,01/11/2026,Bologna,Monza
10,01/11/2026,Como,Venezia
10,01/11/2026,Frosinone,Torino
10,01/11/2026,Juventus,Napoli
10,01/11/2026,Lazio,Cagliari
10,01/11/2026,Lecce,Genoa
10,01/11/2026,Milan,Inter
10,01/11/2026,Sassuolo,Fiorentina
10,01/11/2026,Udinese,Roma
11,08/11/2026,Cagliari,Frosinone
11,08/11/2026,Fiorentina,Juventus
11,08/11/2026,Genoa,Milan
11,08/11/2026,Inter,Como
11,08/11/2026,Monza,Atalanta
11,08/11/2026,Napoli,Lazio
11,08/11/2026,Parma,Bologna
11,08/11/2026,Roma,Sassuolo
11,08/11/2026,Torino,Lecce
11,08/11/2026,Venezia,Udinese
12,22/11/2026,Atalanta,Inter
12,22/11/2026,Bologna,Udinese
12,22/11/2026,Como,Cagliari
12,22/11/2026,Juventus,Venezia
12,22/11/2026,Lazio,Lecce
12,22/11/2026,Milan,Frosinone
12,22/11/2026,Monza,Fiorentina
12,22/11/2026,Napoli,Torino
12,22/11/2026,Parma,Roma
12,22/11/2026,Sassuolo,Genoa
13,29/11/2026,Cagliari,Milan
13,29/11/2026,Como,Juventus
13,29/11/2026,Frosinone,Parma
13,29/11/2026,Inter,Genoa
13,29/11/2026,Lecce,Atalanta
13,29/11/2026,Roma,Monza
13,29/11/2026,Sassuolo,Napoli
13,29/11/2026,Torino,Lazio
13,29/11/2026,Udinese,Fiorentina
13,29/11/2026,Venezia,Bologna
14,06/12/2026,Bologna,Roma
